 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      71.6      0.53       0.8165   -0.2836   -0.5329       23.469    -2.442
   5.0      69.7      0.41       0.8165   -0.2388   -0.5777       22.732    -3.222
  10.0      67.7      0.37       0.8165   -0.2218   -0.5947       21.795    -4.138
  15.0      65.9      0.40       0.8165   -0.2317   -0.5848       20.622    -5.059
  20.0      64.3      0.48       0.8165   -0.2661   -0.5504       19.202    -5.833
  25.0      63.1      0.65       0.8165   -0.3211   -0.4954       17.560    -6.171
  30.0      62.4      0.88       0.8165   -0.3830   -0.4335       15.892    -5.121
  35.0      62.2      1.00       0.8165   -0.4083   -0.4082       15.007    -0.000
  40.0      62.4      0.90       0.8165   -0.3861   -0.4304       15.886     5.037
  45.0      63.1      0.66       0.8165   -0.3243   -0.4922       17.501     5.852
  50.0      64.3      0.49       0.8165   -0.2675   -0.5490       19.036     5.338
  55.0      65.9      0.39       0.8165   -0.2292   -0.5873       20.307     4.402
  60.0      67.7      0.35       0.8165   -0.2123   -0.6042       21.284     3.306
  65.0      69.7      0.36       0.8165   -0.2178   -0.5987       21.973     2.175
  70.0      71.6      0.43       0.8165   -0.2473   -0.5692       22.392     1.119
  75.0      73.3      0.58       0.8165   -0.3010   -0.5155       22.573     0.330
  80.0      74.6      0.83       0.8165   -0.3694   -0.4472       22.633     0.266
  85.0      75.3      0.96       0.8165   -0.4002   -0.4163       22.818     0.968
  90.0      75.6      0.97       0.8165   -0.4010   -0.4155       23.114     0.869
