 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      75.6      0.88       0.8165   -0.3820   -0.4345       23.060     0.000
   5.0      75.3      0.92       0.8165   -0.3909   -0.4256       22.987    -0.441
  10.0      74.6      1.05       0.8165   -0.4179   -0.3986       22.864    -0.208
  15.0      73.6      1.26       0.8165   -0.4547   -0.3618       22.961     0.747
  20.0      72.3      1.48       0.8165   -0.4877   -0.3288       23.177     0.445
  25.0      70.9      1.81       0.8165   -0.5257   -0.2908       23.177    -0.491
  30.0      69.6      2.35       0.8165   -0.5731   -0.2434       22.833    -1.583
  35.0      68.6      3.38       0.8165   -0.6299   -0.1866       22.104    -2.573
  40.0      67.8      5.64       0.8165   -0.6935   -0.1230       21.062    -3.057
  45.0      67.3     10.30       0.8165   -0.7442   -0.0723       20.164    -0.502
  50.0      67.2      4.58       0.8165   -0.6703   -0.1462       20.692     2.330
  55.0      67.4      2.59       0.8165   -0.5890   -0.2274       21.563     2.451
  60.0      68.0      1.68       0.8165   -0.5119   -0.3046       22.324     2.083
  65.0      68.7      1.14       0.8165   -0.4357   -0.3808       22.911     1.625
  70.0      69.5      0.79       0.8165   -0.3605   -0.4560       23.333     1.252
  75.0      70.4      0.56       0.8165   -0.2916   -0.5248       23.670     1.257
  80.0      71.1      0.41       0.8165   -0.2356   -0.5808       24.031     1.388
  85.0      71.5      0.32       0.8165   -0.1995   -0.6170       24.325     0.856
  90.0      71.7      0.30       0.8165   -0.1874   -0.6291       24.434    -0.000
