 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      62.1      1.00       0.8165   -0.4082   -0.4083       15.007    -0.000
   5.0      62.4      0.54       0.8165   -0.2855   -0.5310       15.659     3.515
  10.0      63.1      0.27       0.8165   -0.1739   -0.6426       16.623     3.917
  15.0      64.3      0.16       0.8165   -0.1142   -0.7023       17.536     3.888
  20.0      65.8      0.14       0.8165   -0.0990   -0.7175       18.420     4.009
  25.0      67.4      0.13       0.8165   -0.0964   -0.7201       19.329     4.064
  30.0      69.0      0.11       0.8165   -0.0789   -0.7375       20.179     3.501
  35.0      70.4      0.08       0.8165   -0.0579   -0.7586       20.831     2.500
  40.0      71.4      0.05       0.8165   -0.0422   -0.7743       21.237     1.291
  45.0      71.7      0.05       0.8165   -0.0368   -0.7797       21.372     0.000
  50.0      71.4      0.05       0.8165   -0.0423   -0.7742       21.237    -1.291
  55.0      70.4      0.08       0.8165   -0.0575   -0.7590       20.835    -2.501
  60.0      69.0      0.11       0.8165   -0.0790   -0.7375       20.178    -3.501
  65.0      67.4      0.13       0.8165   -0.0962   -0.7203       19.332    -4.064
  70.0      65.8      0.14       0.8165   -0.0989   -0.7176       18.420    -4.009
  75.0      64.3      0.16       0.8165   -0.1141   -0.7024       17.537    -3.887
  80.0      63.1      0.27       0.8165   -0.1739   -0.6426       16.626    -3.917
  85.0      62.4      0.54       0.8165   -0.2857   -0.5308       15.659    -3.515
  90.0      62.1      1.00       0.8165   -0.4082   -0.4084       15.008    -0.000
