 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      71.7      0.03       0.8165   -0.0268   -0.7897       21.455    -0.000
   5.0      71.4      0.04       0.8165   -0.0326   -0.7838       21.318    -1.318
  10.0      70.4      0.06       0.8165   -0.0489   -0.7676       20.910    -2.558
  15.0      69.0      0.10       0.8165   -0.0723   -0.7442       20.246    -3.594
  20.0      67.4      0.13       0.8165   -0.0933   -0.7232       19.378    -4.188
  25.0      65.8      0.14       0.8165   -0.0984   -0.7181       18.441    -4.103
  30.0      64.3      0.16       0.8165   -0.1132   -0.7033       17.546    -3.926
  35.0      63.1      0.27       0.8165   -0.1734   -0.6431       16.628    -3.932
  40.0      62.4      0.54       0.8165   -0.2851   -0.5314       15.660    -3.520
  45.0      62.1      1.00       0.8165   -0.4080   -0.4085       15.009    -0.000
  50.0      62.4      0.54       0.8165   -0.2858   -0.5307       15.659     3.515
  55.0      63.1      0.27       0.8165   -0.1739   -0.6426       16.623     3.916
  60.0      64.3      0.16       0.8165   -0.1138   -0.7027       17.537     3.888
  65.0      65.8      0.14       0.8165   -0.0989   -0.7176       18.419     4.009
  70.0      67.4      0.13       0.8165   -0.0963   -0.7202       19.331     4.065
  75.0      69.0      0.11       0.8165   -0.0788   -0.7377       20.179     3.502
  80.0      70.4      0.08       0.8165   -0.0576   -0.7589       20.834     2.500
  85.0      71.4      0.05       0.8165   -0.0424   -0.7741       21.237     1.291
  90.0      71.7      0.05       0.8165   -0.0368   -0.7797       21.374    -0.000
