 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      62.2      1.00       0.8165   -0.4083   -0.4082       15.007    -0.000
   5.0      62.4      0.90       0.8165   -0.3859   -0.4306       15.887     5.038
  10.0      63.1      0.66       0.8165   -0.3242   -0.4923       17.502     5.853
  15.0      64.3      0.49       0.8165   -0.2675   -0.5490       19.036     5.338
  20.0      65.9      0.39       0.8165   -0.2292   -0.5873       20.308     4.402
  25.0      67.7      0.35       0.8165   -0.2122   -0.6043       21.284     3.306
  30.0      69.7      0.36       0.8165   -0.2177   -0.5987       21.973     2.175
  35.0      71.6      0.43       0.8165   -0.2473   -0.5692       22.390     1.119
  40.0      73.3      0.58       0.8165   -0.3012   -0.5153       22.572     0.331
  45.0      74.6      0.83       0.8165   -0.3693   -0.4472       22.633     0.266
  50.0      75.3      0.96       0.8165   -0.4000   -0.4165       22.818     0.968
  55.0      75.6      0.96       0.8165   -0.4009   -0.4156       23.114     0.869
  60.0      75.3      1.04       0.8165   -0.4163   -0.4002       23.276     0.173
  65.0      74.7      1.25       0.8165   -0.4538   -0.3627       23.199    -0.683
  70.0      73.9      1.74       0.8165   -0.5183   -0.2982       22.854    -1.430
  75.0      73.1      3.05       0.8165   -0.6147   -0.2018       22.310    -1.658
  80.0      72.3      7.97       0.8165   -0.7255   -0.0910       21.830    -0.867
  85.0      71.9     23.25       0.8165   -0.7828   -0.0337       21.637    -0.267
  90.0      71.7     39.16       0.8165   -0.7962   -0.0203       21.555    -0.188
