 ANGLE     YOUNG     LANKF       D(1,1)    D(2,2)    D(3,3)    SCAU(1,1) SCAU(1,2)
   0.0      73.0      0.89       0.8165   -0.3847   -0.4318       23.010     0.896
   5.0      71.5      0.94       0.8165   -0.3958   -0.4207       23.196     0.248
  10.0      69.8      1.07       0.8165   -0.4216   -0.3948       23.117    -0.816
  15.0      68.2      1.31       0.8165   -0.4625   -0.3540       22.687    -1.973
  20.0      66.8      1.73       0.8165   -0.5175   -0.2990       21.883    -3.014
  25.0      65.7      2.48       0.8165   -0.5817   -0.2348       20.756    -3.610
  30.0      64.9      3.37       0.8165   -0.6296   -0.1869       19.582    -2.678
  35.0      64.6      2.75       0.8165   -0.5989   -0.2176       19.214     0.409
  40.0      64.7      1.97       0.8165   -0.5412   -0.2753       19.635     1.909
  45.0      65.1      1.33       0.8165   -0.4658   -0.3506       20.408     2.849
  50.0      66.0      0.83       0.8165   -0.3712   -0.4453       21.347     3.234
  55.0      67.1      0.54       0.8165   -0.2865   -0.5300       22.206     2.810
  60.0      68.4      0.38       0.8165   -0.2241   -0.5924       22.846     2.055
  65.0      69.7      0.29       0.8165   -0.1828   -0.6337       23.271     1.398
  70.0      70.9      0.25       0.8165   -0.1629   -0.6536       23.555     0.977
  75.0      72.0      0.26       0.8165   -0.1677   -0.6488       23.725     0.404
  80.0      72.7      0.33       0.8165   -0.2003   -0.6162       23.750    -0.162
  85.0      73.0      0.48       0.8165   -0.2634   -0.5531       23.682    -0.229
  90.0      72.9      0.73       0.8165   -0.3458   -0.4707       23.719     0.507
